,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
2467,135,Allegany,10413.42,47400,38.6,18124,45359
2468,135,Bronx,29491.9,1455846,33.6,495356,36593
2469,135,Broome,17231.72,196124,39.6,78821,49064
2470,135,Cattaraugus,11776.65,78175,41.7,31723,45571
2471,135,Cayuga,14798.47,78319,42.5,31428,54664
2472,135,Chautauqua,9085.43,130846,42.3,52983,44304
2473,135,Chemung,19999.03,86883,41.2,34664,51251
2474,135,Chenango,14083.73,48763,44.4,20373,48567
2475,135,Clinton,23466.64,81224,39.4,31680,52759
2476,135,Columbia,12980.84,61481,47.4,25470,61093
2477,135,Cortland,14915.24,48334,36.2,17925,52451
2478,135,Delaware,8259.21,45950,47,19098,47921
2479,135,Dutchess,34319.28,295685,41.8,107384,75585
2480,135,Erie,18880.34,923995,40.3,386371,54006
2481,135,Essex,8155.75,38233,46.7,15257,55294
2482,135,Franklin,13315.04,51054,40.5,18956,50733
2483,135,Fulton,22249.56,53955,43.4,22535,48033
2484,135,Genesee,14054.21,58537,43.2,23951,54033
2485,135,Herkimer,8828.32,62943,43.7,25187,49077
2486,135,Jefferson,24854.23,116567,31.9,43206,50322
2487,135,Kings,27733.8,2635121,34.8,944650,52782
2488,135,Lewis,10784.52,26845,41.8,10236,51475
2489,135,Livingston,10242.32,64373,40.4,24432,53654
2490,135,Madison,14915.18,71760,41.3,26307,58365
2491,135,Monroe,18785.39,748680,38.6,300496,55272
2492,135,Montgomery,14867.61,49500,41.1,19700,47449
2493,135,Nassau,37802.1,1363069,41.5,444136,105744
2494,135,New York,35500.04,1653877,37.1,758345,79781
2495,135,Niagara,12376.49,212675,43,87978,51656
2496,135,Oneida,18636.42,232324,41,90472,51316
2497,135,Onondaga,23100.67,467669,38.8,185840,57271
2498,135,Ontario,11062.06,109491,43.4,44269,61710
2499,135,Orange,34943.92,378174,36.9,126460,75146
2500,135,Orleans,7912,41584,42.8,16214,49223
2501,135,Oswego,13558.72,119833,39.8,45881,51755
2502,135,Otsego,11608.73,60750,42,23627,51254
2503,135,Putnam,28194.48,99464,43.8,34316,99608
2504,135,Queens,24373.49,2339280,38.3,777904,62008
2505,135,Rensselaer,19045.97,159800,39.9,64456,63166
2506,135,Richmond,33186.89,475948,39.9,166150,76244
2507,135,Rockland,41439.52,325027,36.2,99935,88571
2508,135,Saint Lawrence,12692.8,,,,
2509,135,Saratoga,23229.87,226632,42.3,93129,77548
2510,135,Schenectady,17709.42,155239,39.8,53825,61315
2511,135,Schuyler,9084.74,18112,45.7,7444,47810
2512,135,Steuben,11083.33,97539,42.4,40351,50157
2513,135,Suffolk,40283.08,1497595,41,489328,92838
2514,135,Sullivan,21679.54,75783,42.6,27679,53877
2515,135,Tompkins,9798.46,104415,30.4,38986,56200
2516,135,Ulster,20475.05,180129,43.6,69662,61652
2517,135,Warren,15130.22,64701,46.2,27249,60222
2518,135,Wayne,13352.84,91442,43.6,36578,53693
2519,135,Westchester,43109.9,975321,40.6,345885,89968
2520,135,Wyoming,8066.21,40886,41.8,15686,55459
2521,135,Yates,10145.65,25083,41.7,9338,51758
2522,136,Albany,41365.3,308580,37.8,125376,62293
2523,136,Allegany,11762.07,47400,38.6,18124,45359
2524,136,Bronx,48045.82,1455846,33.6,495356,36593
2525,136,Broome,23177.17,196124,39.6,78821,49064
2526,136,Cattaraugus,16764.3,78175,41.7,31723,45571
2527,136,Cayuga,22722.06,78319,42.5,31428,54664
2528,136,Chautauqua,15438.84,130846,42.3,52983,44304
2529,136,Chemung,26349.53,86883,41.2,34664,51251
2530,136,Chenango,11667.46,48763,44.4,20373,48567
2531,136,Clinton,38949.92,81224,39.4,31680,52759
2532,136,Columbia,17187.78,61481,47.4,25470,61093
2533,136,Cortland,21530.29,48334,36.2,17925,52451
2534,136,Delaware,7469.97,45950,47,19098,47921
2535,136,Dutchess,52523.44,295685,41.8,107384,75585
2536,136,Erie,23331.4,923995,40.3,386371,54006
2537,136,Essex,10449.59,38233,46.7,15257,55294
2538,136,Franklin,13306.66,51054,40.5,18956,50733
2539,136,Fulton,28180.89,53955,43.4,22535,48033
2540,136,Genesee,16620.68,58537,43.2,23951,54033
2541,136,Herkimer,9155.03,62943,43.7,25187,49077
2542,136,Jefferson,26806.54,116567,31.9,43206,50322
2543,136,Kings,48663.08,2635121,34.8,944650,52782
2544,136,Lewis,11488.33,26845,41.8,10236,51475
2545,136,Livingston,8358.89,64373,40.4,24432,53654
2546,136,Madison,17965.39,71760,41.3,26307,58365
2547,136,Monroe,21331.34,748680,38.6,300496,55272
2548,136,Montgomery,20526.23,49500,41.1,19700,47449
2549,136,Nassau,63481.56,1363069,41.5,444136,105744
2550,136,New York,57768.85,1653877,37.1,758345,79781
2551,136,Niagara,16052.98,212675,43,87978,51656
2552,136,Oneida,28686.8,232324,41,90472,51316
2553,136,Onondaga,33620.13,467669,38.8,185840,57271
2554,136,Ontario,15279.21,109491,43.4,44269,61710
2555,136,Orange,55342.87,378174,36.9,126460,75146
2556,136,Orleans,6801.16,41584,42.8,16214,49223
2557,136,Oswego,15385.02,119833,39.8,45881,51755
2558,136,Otsego,21263.77,60750,42,23627,51254
2559,136,Putnam,47384.49,99464,43.8,34316,99608
2560,136,Queens,47743.05,2339280,38.3,777904,62008
2561,136,Rensselaer,29122.92,159800,39.9,64456,63166
2562,136,Richmond,49025.3,475948,39.9,166150,76244
2563,136,Rockland,56641.85,325027,36.2,99935,88571
2564,136,Saint Lawrence,14734.65,,,,
2565,136,Saratoga,33844.37,226632,42.3,93129,77548
2566,136,Schenectady,32751.16,155239,39.8,53825,61315
2567,136,Schuyler,11153.07,18112,45.7,7444,47810
2568,136,Steuben,16309.68,97539,42.4,40351,50157
2569,136,Suffolk,58561.01,1497595,41,489328,92838
2570,136,Sullivan,24893.27,75783,42.6,27679,53877
2571,136,Tompkins,16593.33,104415,30.4,38986,56200
2572,136,Ulster,38063.5,180129,43.6,69662,61652
2573,136,Warren,32283.67,64701,46.2,27249,60222
2574,136,Wayne,17990.46,91442,43.6,36578,53693
2575,136,Westchester,54296.91,975321,40.6,345885,89968
2576,136,Wyoming,10444.66,40886,41.8,15686,55459
2577,136,Yates,7199.26,25083,41.7,9338,51758
2578,137,Albany,35919.97,308580,37.8,125376,62293
2579,137,Allegany,15543.84,47400,38.6,18124,45359
2580,137,Bronx,60514.39,1455846,33.6,495356,36593
2581,137,Broome,22635.29,196124,39.6,78821,49064
2582,137,Cattaraugus,16135.04,78175,41.7,31723,45571
2583,137,Cayuga,20125.51,78319,42.5,31428,54664
2584,137,Chautauqua,17642.08,130846,42.3,52983,44304
2585,137,Chemung,26540.15,86883,41.2,34664,51251
2586,137,Chenango,26097.69,48763,44.4,20373,48567
2587,137,Clinton,34467.2,81224,39.4,31680,52759
2588,137,Columbia,17979.19,61481,47.4,25470,61093
2589,137,Cortland,14701.69,48334,36.2,17925,52451
2590,137,Delaware,15310.69,45950,47,19098,47921
2591,137,Dutchess,47765.71,295685,41.8,107384,75585
2592,137,Erie,26380.4,923995,40.3,386371,54006
2593,137,Essex,8341.44,38233,46.7,15257,55294
2594,137,Franklin,16670.99,51054,40.5,18956,50733
2595,137,Fulton,32020.52,53955,43.4,22535,48033
2596,137,Genesee,17627.27,58537,43.2,23951,54033
2597,137,Herkimer,12460.13,62943,43.7,25187,49077
2598,137,Jefferson,28380.53,116567,31.9,43206,50322
2599,137,Kings,51830.79,2635121,34.8,944650,52782
2600,137,Lewis,12158.69,26845,41.8,10236,51475
2601,137,Livingston,13416.06,64373,40.4,24432,53654
2602,137,Madison,23252.76,71760,41.3,26307,58365
2603,137,Monroe,19549.38,748680,38.6,300496,55272
2604,137,Montgomery,23519.46,49500,41.1,19700,47449
2605,137,Nassau,60926.05,1363069,41.5,444136,105744
2606,137,New York,73289.52,1653877,37.1,758345,79781
2607,137,Niagara,19555.28,212675,43,87978,51656
2608,137,Oneida,25803.82,232324,41,90472,51316
2609,137,Onondaga,28309.12,467669,38.8,185840,57271
2610,137,Ontario,17725.94,109491,43.4,44269,61710
2611,137,Orange,58622.54,378174,36.9,126460,75146
2612,137,Orleans,10875.46,41584,42.8,16214,49223
2613,137,Oswego,21882.14,119833,39.8,45881,51755
2614,137,Otsego,17535.9,60750,42,23627,51254
2615,137,Putnam,36876.36,99464,43.8,34316,99608
2616,137,Queens,47978.99,2339280,38.3,777904,62008
2617,137,Rensselaer,26624.8,159800,39.9,64456,63166
2618,137,Richmond,49162.91,475948,39.9,166150,76244
2619,137,Rockland,61126.02,325027,36.2,99935,88571
2620,137,Saint Lawrence,15517.58,,,,
2621,137,Saratoga,39461.36,226632,42.3,93129,77548
2622,137,Schenectady,38207.79,155239,39.8,53825,61315
2623,137,Schuyler,10956.54,18112,45.7,7444,47810
2624,137,Steuben,14865.68,97539,42.4,40351,50157
2625,137,Suffolk,60605.26,1497595,41,489328,92838
2626,137,Sullivan,34642.71,75783,42.6,27679,53877
2627,137,Tompkins,13251.21,104415,30.4,38986,56200
2628,137,Ulster,40566.1,180129,43.6,69662,61652
2629,137,Warren,29562.49,64701,46.2,27249,60222
2630,137,Wayne,22462.2,91442,43.6,36578,53693
2631,137,Westchester,50166.21,975321,40.6,345885,89968
2632,137,Wyoming,11039.35,40886,41.8,15686,55459
2633,137,Yates,11487.23,25083,41.7,9338,51758
2634,138,Albany,17044.36,308580,37.8,125376,62293
2635,138,Allegany,4970.5,47400,38.6,18124,45359
2636,138,Bronx,15672.81,1455846,33.6,495356,36593
2637,138,Broome,5217.61,196124,39.6,78821,49064
2638,138,Cattaraugus,3433.03,78175,41.7,31723,45571
2639,138,Cayuga,8062.79,78319,42.5,31428,54664
2640,138,Chautauqua,5008.59,130846,42.3,52983,44304
2641,138,Chemung,6089.27,86883,41.2,34664,51251
2642,138,Chenango,4630.51,48763,44.4,20373,48567
2643,138,Clinton,8001.4,81224,39.4,31680,52759
2644,138,Columbia,5535.29,61481,47.4,25470,61093
2645,138,Cortland,3639.81,48334,36.2,17925,52451
2646,138,Delaware,6681.8,45950,47,19098,47921
2647,138,Dutchess,13367.49,295685,41.8,107384,75585
2648,138,Erie,10756.66,923995,40.3,386371,54006
2649,138,Franklin,4327.95,51054,40.5,18956,50733
2650,138,Fulton,7493.5,53955,43.4,22535,48033
2651,138,Genesee,4395,58537,43.2,23951,54033
2652,138,Jefferson,8726.62,116567,31.9,43206,50322
2653,138,Kings,13858.23,2635121,34.8,944650,52782
2654,138,Lewis,4178.05,26845,41.8,10236,51475
2655,138,Livingston,2790.39,64373,40.4,24432,53654
2656,138,Madison,7827.76,71760,41.3,26307,58365
2657,138,Monroe,8412.08,748680,38.6,300496,55272
2658,138,Montgomery,6191.97,49500,41.1,19700,47449
2659,138,Nassau,17992.9,1363069,41.5,444136,105744
2660,138,New York,26693.91,1653877,37.1,758345,79781
2661,138,Niagara,4940.16,212675,43,87978,51656
2662,138,Oneida,6427.24,232324,41,90472,51316
2663,138,Onondaga,16801.64,467669,38.8,185840,57271
2664,138,Ontario,5268.57,109491,43.4,44269,61710
2665,138,Orange,13757.44,378174,36.9,126460,75146
2666,138,Oswego,3645.07,119833,39.8,45881,51755
2667,138,Otsego,4356.88,60750,42,23627,51254
2668,138,Putnam,18635.88,99464,43.8,34316,99608
2669,138,Queens,10252.39,2339280,38.3,777904,62008
2670,138,Rensselaer,7245.17,159800,39.9,64456,63166
2671,138,Richmond,13930.41,475948,39.9,166150,76244
2672,138,Rockland,24069.47,325027,36.2,99935,88571
2673,138,Saint Lawrence,4383.9,,,,
2674,138,Saratoga,4700.06,226632,42.3,93129,77548
2675,138,Schenectady,6998.69,155239,39.8,53825,61315
2676,138,Schuyler,4767.77,18112,45.7,7444,47810
2677,138,Steuben,4339.43,97539,42.4,40351,50157
2678,138,Suffolk,16029.91,1497595,41,489328,92838
2679,138,Sullivan,9501.62,75783,42.6,27679,53877
2680,138,Tompkins,3053.45,104415,30.4,38986,56200
2681,138,Ulster,34026.47,180129,43.6,69662,61652
2682,138,Warren,7490.67,64701,46.2,27249,60222
2683,138,Wayne,7961.38,91442,43.6,36578,53693
2684,138,Westchester,27848.91,975321,40.6,345885,89968
2685,138,Wyoming,3045.34,40886,41.8,15686,55459
2686,139,Albany,21742.27,308580,37.8,125376,62293
2687,139,Allegany,9328.98,47400,38.6,18124,45359
2688,139,Bronx,27235.37,1455846,33.6,495356,36593
2689,139,Broome,14590.81,196124,39.6,78821,49064
2690,139,Cattaraugus,11263.94,78175,41.7,31723,45571
2691,139,Cayuga,15004.7,78319,42.5,31428,54664
2692,139,Chautauqua,10807.45,130846,42.3,52983,44304
2693,139,Chemung,16410.85,86883,41.2,34664,51251
2694,139,Chenango,18575.67,48763,44.4,20373,48567
2695,139,Clinton,22742.99,81224,39.4,31680,52759
2696,139,Columbia,14542.73,61481,47.4,25470,61093
2697,139,Cortland,10291.18,48334,36.2,17925,52451
2698,139,Delaware,11537.01,45950,47,19098,47921
2699,139,Dutchess,31915.14,295685,41.8,107384,75585
2700,139,Erie,16740.18,923995,40.3,386371,54006
2701,139,Essex,9215.92,38233,46.7,15257,55294
2702,139,Franklin,12600.48,51054,40.5,18956,50733
2703,139,Fulton,21492.4,53955,43.4,22535,48033
2704,139,Genesee,14326.79,58537,43.2,23951,54033
2705,139,Herkimer,11095.43,62943,43.7,25187,49077
2706,139,Jefferson,16357.42,116567,31.9,43206,50322
2707,139,Kings,26696.89,2635121,34.8,944650,52782
2708,139,Lewis,10512.67,26845,41.8,10236,51475
2709,139,Livingston,10991.97,64373,40.4,24432,53654
2710,139,Madison,14177.82,71760,41.3,26307,58365
2711,139,Monroe,12671.29,748680,38.6,300496,55272
2712,139,Montgomery,16273.66,49500,41.1,19700,47449
2713,139,Nassau,38961.72,1363069,41.5,444136,105744
2714,139,New York,40372.92,1653877,37.1,758345,79781
2715,139,Niagara,13127.64,212675,43,87978,51656
2716,139,Oneida,17950.13,232324,41,90472,51316
2717,139,Onondaga,18309.39,467669,38.8,185840,57271
2718,139,Ontario,11720.96,109491,43.4,44269,61710
2719,139,Orange,37031.78,378174,36.9,126460,75146
2720,139,Orleans,8149.15,41584,42.8,16214,49223
2721,139,Oswego,13929.77,119833,39.8,45881,51755
2722,139,Otsego,11039.27,60750,42,23627,51254
2723,139,Putnam,30789.81,99464,43.8,34316,99608
2724,139,Queens,25894.87,2339280,38.3,777904,62008
2725,139,Rensselaer,19164.39,159800,39.9,64456,63166
2726,139,Richmond,27034.44,475948,39.9,166150,76244
2727,139,Rockland,37842.85,325027,36.2,99935,88571
2728,139,Saint Lawrence,10644.23,,,,
2729,139,Saratoga,25893.99,226632,42.3,93129,77548
2730,139,Schenectady,21741.44,155239,39.8,53825,61315
2731,139,Schuyler,8840.91,18112,45.7,7444,47810
2732,139,Steuben,11038.29,97539,42.4,40351,50157
2733,139,Suffolk,38576.89,1497595,41,489328,92838
2734,139,Sullivan,22153.07,75783,42.6,27679,53877
2735,139,Tompkins,8735.69,104415,30.4,38986,56200
2736,139,Ulster,28727.55,180129,43.6,69662,61652
2737,139,Warren,19822.12,64701,46.2,27249,60222
2738,139,Wayne,14152.19,91442,43.6,36578,53693
2739,139,Westchester,29994.55,975321,40.6,345885,89968
2740,139,Wyoming,9434.75,40886,41.8,15686,55459
2741,139,Yates,8479.25,25083,41.7,9338,51758
2742,140,Albany,23276.23,308580,37.8,125376,62293
2743,140,Allegany,9939.14,47400,38.6,18124,45359
2744,140,Bronx,27381.38,1455846,33.6,495356,36593
2745,140,Broome,12663.05,196124,39.6,78821,49064
2746,140,Cattaraugus,11117.86,78175,41.7,31723,45571
2747,140,Cayuga,14145.72,78319,42.5,31428,54664
2748,140,Chautauqua,10857.86,130846,42.3,52983,44304
2749,140,Chemung,15361.34,86883,41.2,34664,51251
2750,140,Chenango,16748.98,48763,44.4,20373,48567
2751,140,Clinton,20264.02,81224,39.4,31680,52759
2752,140,Columbia,13626.92,61481,47.4,25470,61093
2753,140,Cortland,9149.02,48334,36.2,17925,52451
2754,140,Delaware,10508.53,45950,47,19098,47921
2755,140,Dutchess,30792.06,295685,41.8,107384,75585
2756,140,Erie,16206.44,923995,40.3,386371,54006
2757,140,Essex,9219.42,38233,46.7,15257,55294
2758,140,Franklin,9359.34,51054,40.5,18956,50733
2759,140,Fulton,19064.51,53955,43.4,22535,48033
2760,140,Genesee,12142.9,58537,43.2,23951,54033
2761,140,Herkimer,9676.82,62943,43.7,25187,49077
2762,140,Jefferson,16931.83,116567,31.9,43206,50322
2763,140,Kings,26302.34,2635121,34.8,944650,52782
2764,140,Lewis,10031.82,26845,41.8,10236,51475
2765,140,Livingston,9753.35,64373,40.4,24432,53654
2766,140,Madison,14719.05,71760,41.3,26307,58365
2767,140,Monroe,12341.12,748680,38.6,300496,55272
2768,140,Montgomery,14483.31,49500,41.1,19700,47449
2769,140,Nassau,38335.66,1363069,41.5,444136,105744
2770,140,New York,34121.64,1653877,37.1,758345,79781
2771,140,Niagara,12312.46,212675,43,87978,51656
2772,140,Oneida,17854.36,232324,41,90472,51316
2773,140,Onondaga,15880.53,467669,38.8,185840,57271
2774,140,Ontario,10655.76,109491,43.4,44269,61710
2775,140,Orange,34967.79,378174,36.9,126460,75146
2776,140,Orleans,8733.57,41584,42.8,16214,49223
2777,140,Oswego,12950.75,119833,39.8,45881,51755
2778,140,Otsego,9927.01,60750,42,23627,51254
2779,140,Putnam,28720.78,99464,43.8,34316,99608
2780,140,Queens,26710.47,2339280,38.3,777904,62008
2781,140,Rensselaer,18684.62,159800,39.9,64456,63166
2782,140,Richmond,28532.65,475948,39.9,166150,76244
2783,140,Rockland,39122.92,325027,36.2,99935,88571
2784,140,Saint Lawrence,10090.72,,,,
2785,140,Saratoga,23369.8,226632,42.3,93129,77548
2786,140,Schenectady,21370.3,155239,39.8,53825,61315
2787,140,Schuyler,8214.44,18112,45.7,7444,47810
2788,140,Steuben,10663.91,97539,42.4,40351,50157
2789,140,Suffolk,38395.18,1497595,41,489328,92838
2790,140,Sullivan,21176.38,75783,42.6,27679,53877
2791,140,Tompkins,8458.23,104415,30.4,38986,56200
2792,140,Ulster,25486.4,180129,43.6,69662,61652
2793,140,Warren,17492.66,64701,46.2,27249,60222
2794,140,Wayne,12962.39,91442,43.6,36578,53693
2795,140,Westchester,29200.21,975321,40.6,345885,89968
2796,140,Wyoming,9296.04,40886,41.8,15686,55459
2797,140,Yates,8112.9,25083,41.7,9338,51758
2798,141,Albany,15201.49,308580,37.8,125376,62293
2799,141,Allegany,6761.51,47400,38.6,18124,45359
2800,141,Bronx,15151.2,1455846,33.6,495356,36593
2801,141,Broome,7347.42,196124,39.6,78821,49064
2802,141,Cattaraugus,5196.44,78175,41.7,31723,45571
2803,141,Cayuga,8466.47,78319,42.5,31428,54664
2804,141,Chautauqua,7106.1,130846,42.3,52983,44304
2805,141,Chemung,9612.11,86883,41.2,34664,51251
2806,141,Chenango,8968.21,48763,44.4,20373,48567
2807,141,Clinton,12282.22,81224,39.4,31680,52759
2808,141,Columbia,9839.61,61481,47.4,25470,61093
2809,141,Cortland,7004.82,48334,36.2,17925,52451
2810,141,Delaware,7184.05,45950,47,19098,47921
2811,141,Dutchess,16855.1,295685,41.8,107384,75585
2812,141,Erie,9405.2,923995,40.3,386371,54006
2813,141,Essex,7444.72,38233,46.7,15257,55294
2814,141,Franklin,6417.58,51054,40.5,18956,50733
2815,141,Fulton,9478.48,53955,43.4,22535,48033
2816,141,Genesee,7630.68,58537,43.2,23951,54033
2817,141,Herkimer,9048.69,62943,43.7,25187,49077
2818,141,Jefferson,9464.11,116567,31.9,43206,50322
2819,141,Kings,13773.58,2635121,34.8,944650,52782
2820,141,Lewis,6038.41,26845,41.8,10236,51475
2821,141,Livingston,6005.71,64373,40.4,24432,53654
2822,141,Madison,9348.96,71760,41.3,26307,58365
2823,141,Monroe,8543.78,748680,38.6,300496,55272
2824,141,Montgomery,8920.6,49500,41.1,19700,47449
2825,141,Nassau,21970.48,1363069,41.5,444136,105744
2826,141,New York,19569.96,1653877,37.1,758345,79781
2827,141,Niagara,8107.06,212675,43,87978,51656
2828,141,Oneida,9139.29,232324,41,90472,51316
2829,141,Onondaga,12920.85,467669,38.8,185840,57271
2830,141,Ontario,7377.44,109491,43.4,44269,61710
2831,141,Orange,21209.2,378174,36.9,126460,75146
2832,141,Orleans,4843.03,41584,42.8,16214,49223
2833,141,Oswego,7244.1,119833,39.8,45881,51755
2834,141,Otsego,6027.89,60750,42,23627,51254
2835,141,Putnam,23982.26,99464,43.8,34316,99608
2836,141,Queens,14959.18,2339280,38.3,777904,62008
2837,141,Rensselaer,12771.32,159800,39.9,64456,63166
2838,141,Richmond,16349.18,475948,39.9,166150,76244
2839,141,Rockland,29035.83,325027,36.2,99935,88571
2840,141,Saint Lawrence,5718.21,,,,
2841,141,Saratoga,12710.72,226632,42.3,93129,77548
2842,141,Schenectady,14110.12,155239,39.8,53825,61315
2843,141,Schuyler,7524.89,18112,45.7,7444,47810
2844,141,Steuben,6797.89,97539,42.4,40351,50157
2845,141,Suffolk,20018.99,1497595,41,489328,92838
2846,141,Sullivan,13583.48,75783,42.6,27679,53877
2847,141,Tompkins,4844.8,104415,30.4,38986,56200
2848,141,Ulster,19659.72,180129,43.6,69662,61652
2849,141,Warren,10601.64,64701,46.2,27249,60222
2850,141,Wayne,9971.55,91442,43.6,36578,53693
2851,141,Westchester,21800.46,975321,40.6,345885,89968
2852,141,Wyoming,6860.96,40886,41.8,15686,55459
2853,141,Yates,5954.97,25083,41.7,9338,51758
2854,142,Albany,32513.77,308580,37.8,125376,62293
2855,142,Allegany,9254.34,47400,38.6,18124,45359
2856,142,Bronx,42746.31,1455846,33.6,495356,36593
2857,142,Broome,16157.04,196124,39.6,78821,49064
2858,142,Cattaraugus,12589.64,78175,41.7,31723,45571
2859,142,Cayuga,20842.16,78319,42.5,31428,54664
2860,142,Chautauqua,14020.68,130846,42.3,52983,44304
2861,142,Chemung,21999.66,86883,41.2,34664,51251
2862,142,Chenango,17915.37,48763,44.4,20373,48567
2863,142,Clinton,31746.72,81224,39.4,31680,52759
2864,142,Columbia,15927.15,61481,47.4,25470,61093
2865,142,Cortland,13525.58,48334,36.2,17925,52451
2866,142,Delaware,8957.29,45950,47,19098,47921
2867,142,Dutchess,37425.25,295685,41.8,107384,75585
2868,142,Erie,25314.86,923995,40.3,386371,54006
2869,142,Essex,7852.51,38233,46.7,15257,55294
2870,142,Franklin,13089,51054,40.5,18956,50733
2871,142,Fulton,35144.27,53955,43.4,22535,48033
2872,142,Genesee,13871.26,58537,43.2,23951,54033
2873,142,Herkimer,8929.61,62943,43.7,25187,49077
2874,142,Jefferson,26101.42,116567,31.9,43206,50322
2875,142,Kings,34349.83,2635121,34.8,944650,52782
2876,142,Lewis,12909.28,26845,41.8,10236,51475
2877,142,Livingston,12627.3,64373,40.4,24432,53654
2878,142,Madison,20226.81,71760,41.3,26307,58365
2879,142,Monroe,20478.79,748680,38.6,300496,55272
2880,142,Montgomery,17199.67,49500,41.1,19700,47449
2881,142,Nassau,52542.65,1363069,41.5,444136,105744
2882,142,New York,59861.78,1653877,37.1,758345,79781
2883,142,Niagara,13901.33,212675,43,87978,51656
2884,142,Oneida,22503.77,232324,41,90472,51316
2885,142,Onondaga,24801.08,467669,38.8,185840,57271
2886,142,Ontario,12917.58,109491,43.4,44269,61710
2887,142,Orange,48121.25,378174,36.9,126460,75146
2888,142,Orleans,6996.86,41584,42.8,16214,49223
2889,142,Oswego,16263.66,119833,39.8,45881,51755
2890,142,Otsego,17917.22,60750,42,23627,51254
2891,142,Putnam,30894.1,99464,43.8,34316,99608
2892,142,Queens,35625.3,2339280,38.3,777904,62008
2893,142,Rensselaer,26425.35,159800,39.9,64456,63166
2894,142,Richmond,35780.51,475948,39.9,166150,76244
2895,142,Rockland,47964.52,325027,36.2,99935,88571
2896,142,Saint Lawrence,12151.54,,,,
2897,142,Saratoga,29409.85,226632,42.3,93129,77548
2898,142,Schenectady,31340.43,155239,39.8,53825,61315
2899,142,Schuyler,6720.39,18112,45.7,7444,47810
2900,142,Steuben,17978.7,97539,42.4,40351,50157
2901,142,Suffolk,45559.42,1497595,41,489328,92838
2902,142,Sullivan,25893.26,75783,42.6,27679,53877
2903,142,Tompkins,15758.32,104415,30.4,38986,56200
2904,142,Ulster,32139.63,180129,43.6,69662,61652
2905,142,Warren,24407.67,64701,46.2,27249,60222
2906,142,Wayne,19774.96,91442,43.6,36578,53693
2907,142,Westchester,44366.67,975321,40.6,345885,89968
2908,142,Wyoming,9592.13,40886,41.8,15686,55459
2909,142,Yates,13226.34,25083,41.7,9338,51758
2910,143,Albany,25870.84,308580,37.8,125376,62293
2911,143,Allegany,8494.85,47400,38.6,18124,45359
2912,143,Bronx,37518.86,1455846,33.6,495356,36593
2913,143,Broome,17517.3,196124,39.6,78821,49064
2914,143,Cattaraugus,14537.4,78175,41.7,31723,45571
2915,143,Cayuga,15187.22,78319,42.5,31428,54664
2916,143,Chautauqua,11098.48,130846,42.3,52983,44304
2917,143,Chemung,19002.3,86883,41.2,34664,51251
2918,143,Chenango,15290.21,48763,44.4,20373,48567
2919,143,Clinton,23694.01,81224,39.4,31680,52759
2920,143,Columbia,14068.05,61481,47.4,25470,61093
2921,143,Cortland,11482.13,48334,36.2,17925,52451
2922,143,Delaware,7273.39,45950,47,19098,47921
2923,143,Dutchess,35104.58,295685,41.8,107384,75585
2924,143,Erie,16798.81,923995,40.3,386371,54006
2925,143,Essex,6228.82,38233,46.7,15257,55294
2926,143,Franklin,12149.95,51054,40.5,18956,50733
2927,143,Fulton,18457.21,53955,43.4,22535,48033
2928,143,Genesee,12174.68,58537,43.2,23951,54033
2929,143,Herkimer,8353.47,62943,43.7,25187,49077
2930,143,Jefferson,21536.11,116567,31.9,43206,50322
2931,143,Kings,32375.4,2635121,34.8,944650,52782
2932,143,Lewis,9894.99,26845,41.8,10236,51475
2933,143,Livingston,10988.6,64373,40.4,24432,53654
2934,143,Madison,14592.22,71760,41.3,26307,58365
2935,143,Monroe,16497.1,748680,38.6,300496,55272
2936,143,Montgomery,12821.03,49500,41.1,19700,47449
2937,143,Nassau,41778.66,1363069,41.5,444136,105744
2938,143,New York,42583.54,1653877,37.1,758345,79781
2939,143,Niagara,12987.31,212675,43,87978,51656
2940,143,Oneida,22132.03,232324,41,90472,51316
2941,143,Onondaga,21215.74,467669,38.8,185840,57271
2942,143,Ontario,13027.43,109491,43.4,44269,61710
2943,143,Orange,38967.2,378174,36.9,126460,75146
2944,143,Orleans,7957.89,41584,42.8,16214,49223
2945,143,Oswego,12337.98,119833,39.8,45881,51755
2946,143,Otsego,14684.68,60750,42,23627,51254
2947,143,Putnam,30805.25,99464,43.8,34316,99608
2948,143,Queens,31748.42,2339280,38.3,777904,62008
2949,143,Rensselaer,19999.81,159800,39.9,64456,63166
2950,143,Richmond,33039.68,475948,39.9,166150,76244
2951,143,Rockland,41501.28,325027,36.2,99935,88571
2952,143,Saint Lawrence,11175.03,,,,
2953,143,Saratoga,23281.45,226632,42.3,93129,77548
2954,143,Schenectady,24131.48,155239,39.8,53825,61315
2955,143,Schuyler,10714.24,18112,45.7,7444,47810
2956,143,Steuben,10787.13,97539,42.4,40351,50157
2957,143,Suffolk,39234.24,1497595,41,489328,92838
2958,143,Sullivan,23211.25,75783,42.6,27679,53877
2959,143,Tompkins,11261.71,104415,30.4,38986,56200
2960,143,Ulster,23776.9,180129,43.6,69662,61652
2961,143,Warren,19484.99,64701,46.2,27249,60222
2962,143,Wayne,14865.66,91442,43.6,36578,53693
2963,143,Westchester,37736.18,975321,40.6,345885,89968
2964,143,Wyoming,9687.96,40886,41.8,15686,55459
2965,143,Yates,8247.2,25083,41.7,9338,51758
