,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
117,6,Albany,290133.61,308580,37.8,125376,62293
118,6,Bronx,361303.38,1455846,33.6,495356,36593
119,6,Erie,244240.23,923995,40.3,386371,54006
120,6,Monroe,281887.38,748680,38.6,300496,55272
121,6,New York,297039.13,1653877,37.1,758345,79781
122,6,Onondaga,307666.56,467669,38.8,185840,57271
123,20,Albany,92004.22,308580,37.8,125376,62293
124,20,Bronx,90835.64,1455846,33.6,495356,36593
125,20,Broome,64952.03,196124,39.6,78821,49064
126,20,Chautauqua,29247,130846,42.3,52983,44304
127,20,Chemung,75881.34,86883,41.2,34664,51251
128,20,Clinton,26624,81224,39.4,31680,52759
129,20,Dutchess,115039.73,295685,41.8,107384,75585
130,20,Erie,66917.13,923995,40.3,386371,54006
131,20,Jefferson,67132.08,116567,31.9,43206,50322
132,20,Kings,86955.07,2635121,34.8,944650,52782
133,20,Monroe,57078.8,748680,38.6,300496,55272
134,20,Nassau,142262.1,1363069,41.5,444136,105744
135,20,New York,124202.32,1653877,37.1,758345,79781
136,20,Niagara,29646.18,212675,43,87978,51656
137,20,Oneida,70790.87,232324,41,90472,51316
138,20,Onondaga,85351.88,467669,38.8,185840,57271
139,20,Orange,97428.9,378174,36.9,126460,75146
140,20,Otsego,51782.07,60750,42,23627,51254
141,20,Putnam,69899.43,99464,43.8,34316,99608
142,20,Queens,74399.54,2339280,38.3,777904,62008
143,20,Richmond,91260.31,475948,39.9,166150,76244
144,20,Rockland,114975.97,325027,36.2,99935,88571
145,20,Schenectady,67850.9,155239,39.8,53825,61315
146,20,Suffolk,140657.42,1497595,41,489328,92838
147,20,Tompkins,36043.23,104415,30.4,38986,56200
148,20,Ulster,74062.11,180129,43.6,69662,61652
149,20,Warren,50178.38,64701,46.2,27249,60222
150,20,Westchester,158244.38,975321,40.6,345885,89968
151,21,Albany,102865.54,308580,37.8,125376,62293
152,21,Bronx,129085.87,1455846,33.6,495356,36593
153,21,Broome,70687.91,196124,39.6,78821,49064
154,21,Chautauqua,31389.67,130846,42.3,52983,44304
155,21,Chemung,89701.38,86883,41.2,34664,51251
156,21,Clinton,24532.28,81224,39.4,31680,52759
157,21,Dutchess,84655.57,295685,41.8,107384,75585
158,21,Erie,75834.24,923995,40.3,386371,54006
159,21,Jefferson,50297.57,116567,31.9,43206,50322
160,21,Kings,105138.53,2635121,34.8,944650,52782
161,21,Monroe,50654.83,748680,38.6,300496,55272
162,21,Montgomery,14681,49500,41.1,19700,47449
163,21,Nassau,164090.02,1363069,41.5,444136,105744
164,21,New York,123370.77,1653877,37.1,758345,79781
165,21,Niagara,32071.91,212675,43,87978,51656
166,21,Oneida,66186.22,232324,41,90472,51316
167,21,Onondaga,106407.25,467669,38.8,185840,57271
168,21,Ontario,26444.93,109491,43.4,44269,61710
169,21,Orange,88537.96,378174,36.9,126460,75146
170,21,Otsego,55398.1,60750,42,23627,51254
171,21,Putnam,64044.98,99464,43.8,34316,99608
172,21,Queens,90987.77,2339280,38.3,777904,62008
173,21,Rensselaer,15560.33,159800,39.9,64456,63166
174,21,Richmond,112883.72,475948,39.9,166150,76244
175,21,Rockland,108433.29,325027,36.2,99935,88571
176,21,Schenectady,71989.09,155239,39.8,53825,61315
177,21,Suffolk,141348.11,1497595,41,489328,92838
178,21,Tompkins,34836.6,104415,30.4,38986,56200
179,21,Ulster,76298.43,180129,43.6,69662,61652
180,21,Warren,59960.66,64701,46.2,27249,60222
181,21,Westchester,219638.36,975321,40.6,345885,89968
182,22,Albany,44288.89,308580,37.8,125376,62293
183,22,Bronx,76381.85,1455846,33.6,495356,36593
184,22,Broome,42068.89,196124,39.6,78821,49064
185,22,Chemung,40132.99,86883,41.2,34664,51251
186,22,Clinton,32477,81224,39.4,31680,52759
187,22,Dutchess,81315.99,295685,41.8,107384,75585
188,22,Erie,45971.98,923995,40.3,386371,54006
189,22,Jefferson,35007.31,116567,31.9,43206,50322
190,22,Kings,68406.72,2635121,34.8,944650,52782
191,22,Monroe,30075.68,748680,38.6,300496,55272
192,22,Nassau,98509.89,1363069,41.5,444136,105744
193,22,New York,88117.02,1653877,37.1,758345,79781
194,22,Niagara,21353.8,212675,43,87978,51656
195,22,Oneida,36625.09,232324,41,90472,51316
196,22,Onondaga,48693.22,467669,38.8,185840,57271
197,22,Orange,62213.26,378174,36.9,126460,75146
198,22,Otsego,41127.14,60750,42,23627,51254
199,22,Putnam,55029.84,99464,43.8,34316,99608
200,22,Queens,65550.18,2339280,38.3,777904,62008
201,22,Richmond,72272.04,475948,39.9,166150,76244
202,22,Rockland,77338.63,325027,36.2,99935,88571
203,22,Schenectady,58698.72,155239,39.8,53825,61315
204,22,Suffolk,74276.21,1497595,41,489328,92838
205,22,Tompkins,30953,104415,30.4,38986,56200
206,22,Ulster,64188.37,180129,43.6,69662,61652
207,22,Warren,29304.08,64701,46.2,27249,60222
